country,region,income_level,tax_category,year,quarter,fuel_type,avg_retail_price,avg_crude_price,retail_pct_change,crude_pct_change,impact_level,time_index
Algeria,Africa,Middle,Medium Tax,2024,1,Diesel,0.1161344052,113.004,-7.631539376985892,-0.8769448373408697,High Impact,2024-01-01
Algeria,Africa,Middle,Medium Tax,2024,2,Diesel,0.12775,121.17125,-9.397163120567384,1.2731094543995758,High Impact,2024-04-01
Algeria,Africa,Middle,Medium Tax,2024,3,Diesel,0.13731511255555556,121.59222222222222,-1.6136241197718413,-2.022350790299741,Low Impact,2024-07-01
Algeria,Africa,Middle,Medium Tax,2024,4,Diesel,0.124354501625,119.2925,-1.3059510912698402,0.6025569667223272,Low Impact,2024-10-01
Algeria,Africa,Middle,Low Tax,2020,2,Lpg,0.05554545454545454,53.552727272727275,-14.325777050712777,-19.055732659118384,High Impact,2020-04-01
Algeria,Africa,Middle,Low Tax,2020,3,Lpg,0.05928571428571429,67.91714285714285,36.28899835796389,25.877384592980913,High Impact,2020-07-01
Algeria,Africa,Middle,Low Tax,2020,4,Lpg,0.08328571428571428,89.52857142857142,22.478991596638643,24.923588039867095,High Impact,2020-10-01
Algeria,Africa,Middle,Low Tax,2021,1,Lpg,0.09325,100.0325,0.9927797833934976,14.97107501340894,Low Impact,2021-01-01
Algeria,Africa,Middle,Low Tax,2021,2,Lpg,0.11566666666666668,103.88833333333334,20.737647877522623,3.2379343469475708,High Impact,2021-04-01
Algeria,Africa,Middle,Low Tax,2021,3,Lpg,0.108,109.7,6.0308555399719515,6.4886078406900545,High Impact,2021-07-01
Algeria,Africa,Middle,Low Tax,2021,4,Lpg,0.108625,112.365,10.391260162601624,1.850005438526532,High Impact,2021-10-01
Algeria,Africa,Middle,Low Tax,2022,1,Lpg,0.1214,122.566,3.0560271646859016,8.142017681624884,Medium Impact,2022-01-01
Algeria,Africa,Middle,Low Tax,2022,2,Lpg,0.11088888888888888,129.42333333333335,-15.108984582668793,9.37953376998381,High Impact,2022-04-01
Algeria,Africa,Middle,Low Tax,2022,3,Lpg,0.12711111111111112,117.64444444444445,-6.878306878306879,-8.739085839388373,High Impact,2022-07-01
Algeria,Africa,Middle,Low Tax,2022,4,Lpg,0.10977777777777778,102.91222222222224,-9.83344741044946,-12.211535499586512,High Impact,2022-10-01
Algeria,Africa,Middle,Low Tax,2023,1,Lpg,0.0908,97.25,-18.928571428571413,-1.889076647582539,High Impact,2023-01-01
Algeria,Africa,Middle,Low Tax,2023,2,Lpg,0.103,103.6225,9.139072847682112,8.838589396843744,High Impact,2023-04-01
Algeria,Africa,Middle,Low Tax,2023,3,Lpg,0.10428571428571427,107.31428571428572,-5.194805194805194,4.150202560497797,High Impact,2023-07-01
Algeria,Africa,Middle,Low Tax,2023,4,Lpg,0.1087,110.509,-10.288858321870702,2.1167085059524724,High Impact,2023-10-01
Algeria,Africa,Middle,Low Tax,2024,1,Lpg,0.109375,114.00375,14.329268292682931,2.872902003248514,High Impact,2024-01-01
Algeria,Africa,Middle,Low Tax,2024,2,Lpg,0.1254,119.648,2.9556650246305467,5.879437896003673,Medium Impact,2024-04-01
Algeria,Africa,Middle,Low Tax,2024,3,Lpg,0.1292,124.102,2.743538767395633,2.4186843001124467,Medium Impact,2024-07-01
Algeria,Africa,Middle,Low Tax,2024,4,Lpg,0.109,118.578,-16.296928327645045,-2.478959728783817,High Impact,2024-10-01
Algeria,Africa,Middle,Medium Tax,2020,1,Lpg,0.06483333333333333,66.16,1.5287099179716437,0.03888192854365724,Low Impact,2020-01-01
Algeria,Africa,Middle,Medium Tax,2020,2,Lpg,0.0435,53.955,-21.685761047463178,0.7511713179873636,High Impact,2020-04-01
Algeria,Africa,Middle,Medium Tax,2020,3,Lpg,0.068,71.66666666666667,14.698795180722891,5.520732545258247,High Impact,2020-07-01
Algeria,Africa,Middle,Medium Tax,2020,4,Lpg,0.09233333333333334,87.00666666666666,10.863350485992004,-2.8168714430083535,High Impact,2020-10-01
Algeria,Africa,Middle,Medium Tax,2021,1,Lpg,0.0958,100.63,2.7345844504021413,0.5973058755904297,Medium Impact,2021-01-01
Algeria,Africa,Middle,Medium Tax,2021,2,Lpg,0.10185714285714284,103.01571428571428,-11.939069575957188,-0.8399586552410959,High Impact,2021-04-01
Algeria,Africa,Middle,Medium Tax,2021,3,Lpg,0.0984,110.324,-8.888888888888886,0.5688240656335416,High Impact,2021-07-01
Algeria,Africa,Middle,Medium Tax,2021,4,Lpg,0.1178,113.338,8.446490218642118,0.8659280024918656,High Impact,2021-10-01
Algeria,Africa,Middle,Medium Tax,2022,1,Lpg,0.130625,118.325,7.598846787479404,-3.460176557936132,High Impact,2022-01-01
Algeria,Africa,Middle,Medium Tax,2022,2,Lpg,0.1365,128.91,23.096192384769555,-0.3966312102403092,High Impact,2022-04-01
Algeria,Africa,Middle,Medium Tax,2022,3,Lpg,0.12175,117.2275,-4.2176573426573505,-0.3544106535700751,Medium Impact,2022-07-01
Algeria,Africa,Middle,Medium Tax,2022,4,Lpg,0.112,99.1225,2.0242914979756965,-3.6824802150700178,Medium Impact,2022-10-01
Algeria,Africa,Middle,Medium Tax,2023,1,Lpg,0.094375,95.2075,3.937224669603518,-2.100257069408745,Medium Impact,2023-01-01
Algeria,Africa,Middle,Medium Tax,2023,2,Lpg,0.11,103.038,6.796116504854376,-0.5640666843590973,High Impact,2023-04-01
Algeria,Africa,Middle,Medium Tax,2023,3,Lpg,0.12116666666666669,108.21833333333332,16.18721461187215,0.8424298899538496,High Impact,2023-07-01
Algeria,Africa,Middle,Medium Tax,2023,4,Lpg,0.09566666666666666,110.82,-11.990187059184306,0.2814250423042402,High Impact,2023-10-01
Algeria,Africa,Middle,Medium Tax,2024,1,Lpg,0.1218,113.004,11.360000000000005,-0.8769448373408697,High Impact,2024-01-01
Algeria,Africa,Middle,Medium Tax,2024,2,Lpg,0.12575,121.17125,0.27910685805421787,1.2731094543995758,Low Impact,2024-04-01
Algeria,Africa,Middle,Medium Tax,2024,3,Lpg,0.1302222222222222,121.59222222222222,0.7911936704506208,-2.022350790299741,Low Impact,2024-07-01
Algeria,Africa,Middle,Medium Tax,2024,4,Lpg,0.10175,119.2925,-6.6513761467889845,0.6025569667223272,High Impact,2024-10-01
Algeria,Africa,Middle,Low Tax,2020,2,Petrol,0.07390909090909091,53.552727272727275,-17.235960349153444,-19.055732659118384,High Impact,2020-04-01
Algeria,Africa,Middle,Low Tax,2020,3,Petrol,0.08642857142857142,67.91714285714285,14.474929044465464,25.877384592980913,High Impact,2020-07-01
Algeria,Africa,Middle,Low Tax,2020,4,Petrol,0.11942857142857144,89.52857142857142,25.978215601330835,24.923588039867095,High Impact,2020-10-01
Algeria,Africa,Middle,Low Tax,2021,1,Petrol,0.12737500000000002,100.0325,9.365144459120687,14.97107501340894,High Impact,2021-01-01
Algeria,Africa,Middle,Low Tax,2021,2,Petrol,0.14716666666666667,103.88833333333334,15.879265091863518,3.2379343469475708,High Impact,2021-04-01
Algeria,Africa,Middle,Low Tax,2021,3,Petrol,0.14507645625,109.7,8.61338970588235,6.4886078406900545,High Impact,2021-07-01
Algeria,Africa,Middle,Low Tax,2021,4,Petrol,0.1475,112.365,13.845842618040663,1.850005438526532,High Impact,2021-10-01
Algeria,Africa,Middle,Low Tax,2022,1,Petrol,0.159161165,122.566,13.686546428571416,8.142017681624884,High Impact,2022-01-01
Algeria,Africa,Middle,Low Tax,2022,2,Petrol,0.16262351666666666,129.42333333333335,4.413172819689671,9.37953376998381,Medium Impact,2022-04-01
Algeria,Africa,Middle,Low Tax,2022,3,Petrol,0.1641111111111111,117.64444444444445,-1.1378848728246458,-8.739085839388373,Low Impact,2022-07-01
Algeria,Africa,Middle,Low Tax,2022,4,Petrol,0.14633333333333334,102.91222222222224,-11.313131313131311,-12.211535499586512,High Impact,2022-10-01
Algeria,Africa,Middle,Low Tax,2023,1,Petrol,0.1162,97.25,-20.410958904109584,-1.889076647582539,High Impact,2023-01-01
Algeria,Africa,Middle,Low Tax,2023,2,Petrol,0.142125,103.6225,15.78411405295316,8.838589396843744,High Impact,2023-04-01
Algeria,Africa,Middle,Low Tax,2023,3,Petrol,0.147,107.31428571428572,8.407079646017694,4.150202560497797,High Impact,2023-07-01
Algeria,Africa,Middle,Low Tax,2023,4,Petrol,0.148361165,110.509,-2.373184553849508,2.1167085059524724,Medium Impact,2023-10-01
Algeria,Africa,Middle,Low Tax,2024,1,Petrol,0.147125,114.00375,1.0011441647597294,2.872902003248514,Low Impact,2024-01-01
Algeria,Africa,Middle,Low Tax,2024,2,Petrol,0.164961165,119.648,11.611072395128556,5.879437896003673,High Impact,2024-04-01
Algeria,Africa,Middle,Low Tax,2024,3,Petrol,0.1716,124.102,8.779714738510302,2.4186843001124467,High Impact,2024-07-01
Algeria,Africa,Middle,Low Tax,2024,4,Petrol,0.141961165,118.578,-15.432515293618229,-2.478959728783817,High Impact,2024-10-01
Algeria,Africa,Middle,Medium Tax,2020,1,Petrol,0.08930097083333333,66.16,11.427236333927503,0.03888192854365724,High Impact,2020-01-01
Algeria,Africa,Middle,Medium Tax,2020,2,Petrol,0.0755,53.955,2.152521525215247,0.7511713179873636,Medium Impact,2020-04-01
Algeria,Africa,Middle,Medium Tax,2020,3,Petrol,0.09480097083333332,71.66666666666667,9.68707369146006,5.520732545258247,High Impact,2020-07-01
Algeria,Africa,Middle,Medium Tax,2020,4,Petrol,0.1164676375,87.00666666666666,-2.4792508971291856,-2.8168714430083535,Medium Impact,2020-10-01
Algeria,Africa,Middle,Medium Tax,2021,1,Petrol,0.127,100.63,-0.294406280667332,0.5973058755904297,Low Impact,2021-01-01
Algeria,Africa,Middle,Medium Tax,2021,2,Petrol,0.13357142857142856,103.01571428571428,-9.237987380682744,-0.8399586552410959,High Impact,2021-04-01
Algeria,Africa,Middle,Medium Tax,2021,3,Petrol,0.129561165,110.324,-10.694561785589508,0.5688240656335416,High Impact,2021-07-01
Algeria,Africa,Middle,Medium Tax,2021,4,Petrol,0.14,113.338,-5.08474576271185,0.8659280024918656,High Impact,2021-10-01
Algeria,Africa,Middle,Medium Tax,2022,1,Petrol,0.15575,118.325,-2.1432143952954816,-3.460176557936132,Medium Impact,2022-01-01
Algeria,Africa,Middle,Medium Tax,2022,2,Petrol,0.166,128.91,2.0762577286126493,-0.3966312102403092,Medium Impact,2022-04-01
Algeria,Africa,Middle,Medium Tax,2022,3,Petrol,0.165,117.2275,0.5416384563304132,-0.3544106535700751,Low Impact,2022-07-01
Algeria,Africa,Middle,Medium Tax,2022,4,Petrol,0.146,99.1225,-0.2277904328018351,-3.6824802150700178,Low Impact,2022-10-01
Algeria,Africa,Middle,Medium Tax,2023,1,Petrol,0.12275,95.2075,5.636833046471601,-2.100257069408745,High Impact,2023-01-01
Algeria,Africa,Middle,Medium Tax,2023,2,Petrol,0.1356,103.038,-4.591029023746704,-0.5640666843590973,Medium Impact,2023-04-01
Algeria,Africa,Middle,Medium Tax,2023,3,Petrol,0.1519676375,108.21833333333332,3.379345238095245,0.8424298899538496,Medium Impact,2023-07-01
Algeria,Africa,Middle,Medium Tax,2023,4,Petrol,0.14566666666666667,110.82,-1.8161749628572432,0.2814250423042402,Low Impact,2023-10-01
Algeria,Africa,Middle,Medium Tax,2024,1,Petrol,0.1478,113.004,0.4587935429056797,-0.8769448373408697,Low Impact,2024-01-01
Algeria,Africa,Middle,Medium Tax,2024,2,Petrol,0.15775,121.17125,-4.371431906412634,1.2731094543995758,Medium Impact,2024-04-01
Algeria,Africa,Middle,Medium Tax,2024,3,Petrol,0.1678673138888889,121.59222222222222,-2.1752250064750034,-2.022350790299741,Medium Impact,2024-07-01
Algeria,Africa,Middle,Medium Tax,2024,4,Petrol,0.146625,119.2925,3.2852893254292503,0.6025569667223272,Medium Impact,2024-10-01
Angola,Africa,Low,Low Tax,2020,2,Diesel,0.23863636363636365,53.45909090909091,-17.71159874608151,-20.18052869116698,High Impact,2020-04-01
Angola,Africa,Low,Low Tax,2020,3,Diesel,0.3291974276,70.2,-4.30128430685866,28.8782816229117,Medium Impact,2020-07-01
Angola,Africa,Low,Low Tax,2020,4,Diesel,0.3768,85.538,21.941747572815544,23.42700479780672,High Impact,2020-10-01
Angola,Africa,Low,Low Tax,2021,1,Diesel,0.453,100.128,16.752577319587626,11.091325150821724,High Impact,2021-01-01
Angola,Africa,Low,Low Tax,2021,2,Diesel,0.43816666666666665,102.81833333333331,-1.5632313020687096,2.4635532801009807,Low Impact,2021-04-01
Angola,Africa,Low,Low Tax,2021,3,Diesel,0.4696666666666667,111.16,3.908554572271386,6.953665140956382,Medium Impact,2021-07-01
Angola,Africa,Low,Low Tax,2021,4,Diesel,0.48628571428571427,112.22428571428571,-0.6711409395973258,3.0580117020439204,Low Impact,2021-10-01
Angola,Africa,Low,Low Tax,2022,1,Diesel,0.5397987138,119.062,5.566893181225558,5.048526557261333,High Impact,2022-01-01
Angola,Africa,Low,Low Tax,2022,2,Diesel,0.5857142857142857,129.63857142857142,6.558087152386739,5.4515100690638185,High Impact,2022-04-01
Angola,Africa,Low,Low Tax,2022,3,Diesel,0.5128333333333334,117.02333333333334,-6.785459277363583,-9.164532070687471,High Impact,2022-07-01
Angola,Africa,Low,Low Tax,2022,4,Diesel,0.4481428571428572,101.37,-15.60398170567662,-14.048475598677278,High Impact,2022-10-01
Angola,Africa,Low,Low Tax,2023,1,Diesel,0.425625,96.71125,-6.660745420507171,-5.3567059744580865,High Impact,2023-01-01
Angola,Africa,Low,Low Tax,2023,2,Diesel,0.46599785633333335,103.875,10.899061478660954,9.521951836700271,High Impact,2023-04-01
Angola,Africa,Low,Low Tax,2023,3,Diesel,0.4767142857142857,108.56571428571428,6.17244670696786,5.415302668812062,High Impact,2023-07-01
Angola,Africa,Low,Low Tax,2023,4,Diesel,0.48356959114285714,109.55285714285714,2.9971882980298754,2.617616557199728,Medium Impact,2023-10-01
Angola,Africa,Low,Low Tax,2024,1,Diesel,0.501,113.18875,1.076429066923564,1.2602880658436193,Low Impact,2024-01-01
Angola,Africa,Low,Low Tax,2024,2,Diesel,0.5169971417777778,119.98666666666666,1.9718228358536043,4.967864599736377,Low Impact,2024-04-01
Angola,Africa,Low,Low Tax,2024,3,Diesel,0.5468874597777778,122.10111111111112,-1.5504122812281265,0.13828233744990434,Low Impact,2024-07-01
Angola,Africa,Low,Low Tax,2024,4,Diesel,0.5318874597777778,119.2088888888889,-2.513295495275316,-3.2285414828885703,Medium Impact,2024-10-01
Angola,Africa,Low,Medium Tax,2020,1,Diesel,0.29000000000000004,66.975,-4.882936080292936,1.8201013513513304,Medium Impact,2020-01-01
Angola,Africa,Low,Medium Tax,2020,2,Diesel,0.343993569,54.47,44.14968605714285,1.8909956636340397,High Impact,2020-04-01
Angola,Africa,Low,Medium Tax,2020,3,Diesel,0.309,69.3025,-6.1353540175719115,-1.2784900284900398,High Impact,2020-07-01
Angola,Africa,Low,Medium Tax,2020,4,Diesel,0.388,90.13125,2.9723991507430965,5.369835628609505,Medium Impact,2020-10-01
Angola,Africa,Low,Medium Tax,2021,1,Diesel,0.445125,100.34625,-1.7384105960264948,0.2179709971236793,Low Impact,2021-01-01
Angola,Africa,Low,Medium Tax,2021,2,Diesel,0.452,103.93285714285716,3.157093952073039,1.083973814193789,Medium Impact,2021-04-01
Angola,Africa,Low,Medium Tax,2021,3,Diesel,0.4895714285714286,108.89428571428572,4.238061441752007,-2.038246028890142,Medium Impact,2021-07-01
Angola,Africa,Low,Medium Tax,2021,4,Diesel,0.5113333333333333,113.34,5.150802976889932,0.9941825680715952,High Impact,2021-10-01
Angola,Africa,Low,Medium Tax,2022,1,Diesel,0.5496666666666666,122.93666666666668,1.8280800999319908,3.2543268773132232,Low Impact,2022-01-01
Angola,Africa,Low,Medium Tax,2022,2,Diesel,0.550164523,128.83,-6.0694716829268405,-0.6237120786361955,High Impact,2022-04-01
Angola,Africa,Low,Medium Tax,2022,3,Diesel,0.531,117.93857142857144,3.5424114397140065,0.782098808133502,Medium Impact,2022-07-01
Angola,Africa,Low,Medium Tax,2022,4,Diesel,0.45599785633333334,102.185,1.7527891084900586,0.8039854000197274,Low Impact,2022-10-01
Angola,Africa,Low,Medium Tax,2023,1,Diesel,0.4202,94.844,-1.274596182085159,-1.9307474569918317,Low Impact,2023-01-01
Angola,Africa,Low,Medium Tax,2023,2,Diesel,0.449,102.98857142857145,-3.647625434820581,-0.8533608389204016,Medium Impact,2023-04-01
Angola,Africa,Low,Medium Tax,2023,3,Diesel,0.46949785633333335,106.75833333333333,-1.5137850064928513,-1.664780602487851,Low Impact,2023-07-01
Angola,Africa,Low,Medium Tax,2023,4,Diesel,0.495664523,111.78,2.501177096053114,2.032939090067425,Medium Impact,2023-10-01
Angola,Africa,Low,Medium Tax,2024,1,Diesel,0.507,114.308,1.197604790419163,0.9888350211483102,Low Impact,2024-01-01
Angola,Africa,Low,Medium Tax,2024,2,Diesel,0.5555,121.9325,7.447402531051515,1.621707967551956,High Impact,2024-04-01
Angola,Africa,Low,Medium Tax,2024,3,Diesel,0.5456,123.186,-0.2354158528888053,0.8885168030139029,Low Impact,2024-07-01
Angola,Africa,Low,Medium Tax,2024,4,Diesel,0.53,118.5875,-0.35486074038414095,-0.5212605323987759,Low Impact,2024-10-01
Angola,Africa,Low,Low Tax,2020,2,Lpg,0.20563636363636364,53.45909090909091,-11.459046873470989,-20.18052869116698,High Impact,2020-04-01
Angola,Africa,Low,Low Tax,2020,3,Lpg,0.2434,70.2,44.02366863905327,28.8782816229117,High Impact,2020-07-01
Angola,Africa,Low,Low Tax,2020,4,Lpg,0.33180000000000004,85.538,29.9265785609398,23.42700479780672,High Impact,2020-10-01
Angola,Africa,Low,Low Tax,2021,1,Lpg,0.3504,100.128,8.023121387283243,11.091325150821724,High Impact,2021-01-01
Angola,Africa,Low,Low Tax,2021,2,Lpg,0.36133333333333334,102.81833333333331,-1.275045537340615,2.4635532801009807,Low Impact,2021-04-01
Angola,Africa,Low,Low Tax,2021,3,Lpg,0.42633333333333334,111.16,12.319658763015935,6.953665140956382,High Impact,2021-07-01
Angola,Africa,Low,Low Tax,2021,4,Lpg,0.4247142857142857,112.22428571428571,10.070344316919662,3.0580117020439204,High Impact,2021-10-01
Angola,Africa,Low,Low Tax,2022,1,Lpg,0.4491,119.062,7.440191387559812,5.048526557261333,High Impact,2022-01-01
Angola,Africa,Low,Low Tax,2022,2,Lpg,0.4747142857142857,129.63857142857142,3.649407361197747,5.4515100690638185,Medium Impact,2022-04-01
Angola,Africa,Low,Low Tax,2022,3,Lpg,0.44316666666666665,117.02333333333334,-4.214697406340061,-9.164532070687471,Medium Impact,2022-07-01
Angola,Africa,Low,Low Tax,2022,4,Lpg,0.37857142857142856,101.37,-13.313706247955515,-14.048475598677278,High Impact,2022-10-01
Angola,Africa,Low,Low Tax,2023,1,Lpg,0.3625,96.71125,-1.4945652173913058,-5.3567059744580865,Low Impact,2023-01-01
Angola,Africa,Low,Low Tax,2023,2,Lpg,0.37183333333333335,103.875,7.466281310211942,9.521951836700271,High Impact,2023-04-01
Angola,Africa,Low,Low Tax,2023,3,Lpg,0.4052857142857143,108.56571428571428,4.879852125693159,5.415302668812062,Medium Impact,2023-07-01
Angola,Africa,Low,Low Tax,2023,4,Lpg,0.3941428571428572,109.55285714285714,2.3304691846448793,2.617616557199728,Medium Impact,2023-10-01
Angola,Africa,Low,Low Tax,2024,1,Lpg,0.41325,113.18875,0.6699147381242461,1.2602880658436193,Low Impact,2024-01-01
Angola,Africa,Low,Low Tax,2024,2,Lpg,0.44666666666666666,119.98666666666666,4.069586828207523,4.967864599736377,Medium Impact,2024-04-01
Angola,Africa,Low,Low Tax,2024,3,Lpg,0.4378888888888889,122.10111111111112,-0.5927607516710828,0.13828233744990434,Low Impact,2024-07-01
Angola,Africa,Low,Low Tax,2024,4,Lpg,0.43077777777777776,119.2088888888889,-6.107720623849668,-3.2285414828885703,High Impact,2024-10-01
Angola,Africa,Low,Medium Tax,2020,1,Lpg,0.23225,66.975,-1.0766682442025513,1.8201013513513304,Low Impact,2020-01-01
Angola,Africa,Low,Medium Tax,2020,2,Lpg,0.16899999999999998,54.47,-17.816091954023,1.8909956636340397,High Impact,2020-04-01
Angola,Africa,Low,Medium Tax,2020,3,Lpg,0.255375,69.3025,4.919884963023835,-1.2784900284900398,Medium Impact,2020-07-01
Angola,Africa,Low,Medium Tax,2020,4,Lpg,0.32437499999999997,90.13125,-2.2377938517179232,5.369835628609505,Medium Impact,2020-10-01
Angola,Africa,Low,Medium Tax,2021,1,Lpg,0.366,100.34625,4.452054794520549,0.2179709971236793,Medium Impact,2021-01-01
Angola,Africa,Low,Medium Tax,2021,2,Lpg,0.37957142857142856,103.93285714285716,5.047443331576168,1.083973814193789,High Impact,2021-04-01
Angola,Africa,Low,Medium Tax,2021,3,Lpg,0.3858571428571429,108.89428571428572,-9.4940243493801,-2.038246028890142,High Impact,2021-07-01
Angola,Africa,Low,Medium Tax,2021,4,Lpg,0.418,113.34,-1.5808947191389204,0.9941825680715952,Low Impact,2021-10-01
Angola,Africa,Low,Medium Tax,2022,1,Lpg,0.458,122.93666666666668,1.9817412602983788,3.2543268773132232,Low Impact,2022-01-01
Angola,Africa,Low,Medium Tax,2022,2,Lpg,0.4626666666666666,128.83,-2.5378673889056036,-0.6237120786361955,Medium Impact,2022-04-01
Angola,Africa,Low,Medium Tax,2022,3,Lpg,0.4367142857142857,117.93857142857144,-1.4559716327298078,0.782098808133502,Low Impact,2022-07-01
Angola,Africa,Low,Medium Tax,2022,4,Lpg,0.368,102.185,-2.7924528301886777,0.8039854000197274,Medium Impact,2022-10-01
Angola,Africa,Low,Medium Tax,2023,1,Lpg,0.34600000000000003,94.844,-4.551724137931023,-1.9307474569918317,Medium Impact,2023-01-01
Angola,Africa,Low,Medium Tax,2023,2,Lpg,0.38642857142857145,102.98857142857145,3.925209707370176,-0.8533608389204016,Medium Impact,2023-04-01
Angola,Africa,Low,Medium Tax,2023,3,Lpg,0.38516666666666666,106.75833333333333,-4.964164023029028,-1.664780602487851,Medium Impact,2023-07-01
Angola,Africa,Low,Medium Tax,2023,4,Lpg,0.4105,111.78,4.150054367524449,2.032939090067425,Medium Impact,2023-10-01
Angola,Africa,Low,Medium Tax,2024,1,Lpg,0.4292,114.308,3.8596491228070087,0.9888350211483102,Medium Impact,2024-01-01
Angola,Africa,Low,Medium Tax,2024,2,Lpg,0.4405,121.9325,-1.38059701492537,1.621707967551956,Low Impact,2024-04-01
Angola,Africa,Low,Medium Tax,2024,3,Lpg,0.4588,123.186,4.775437706165959,0.8885168030139029,Medium Impact,2024-07-01
